name,slug,value,date_of_information,ranking,region
"Seychelles","seychelles","$29,500","2023",78,"Africa"
"Chile","chile","$29,500","2023",79,"South America"
"Antigua and Barbuda","antigua-and-barbuda","$28,700","2023",80,"Central America and the Caribbean"
"Trinidad and Tobago","trinidad-and-tobago","$28,500","2023",81,"Central America and the Caribbean"
"Montenegro","montenegro","$27,800","2023",82,"Europe"
"Belarus","belarus","$27,700","2023",83,"Europe"
"Curacao","curacao","$27,600","2022",84,"Central America and the Caribbean"
"Mauritius","mauritius","$26,600","2023",85,"Africa"
"Argentina","argentina","$26,500","2023",86,"South America"
"Costa Rica","costa-rica","$25,800","2023",87,"Central America and the Caribbean"
"Serbia","serbia","$24,500","2023",88,"Europe"
"Northern Mariana Islands","northern-mariana-islands","$24,500","2016",89,"Australia and Oceania"
"North Macedonia","north-macedonia","$23,400","2023",90,"Europe"
"Dominican Republic","dominican-republic","$23,100","2023",91,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","$22,700","2023",92,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","$22,400","2023",93,"Central America and the Caribbean"
"Mexico","mexico","$22,400","2023",94,"North America"
"Maldives","maldives","$22,400","2023",95,"South Asia"
"Georgia","georgia","$22,200","2023",96,"Middle East"
"China","china","$22,100","2023",97,"East and Southeast Asia"
"Azerbaijan","azerbaijan","$21,300","2023",98,"Middle East"
"Thailand","thailand","$21,100","2023",99,"East and Southeast Asia"
"Armenia","armenia","$20,800","2023",100,"Middle East"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$19,900","2023",101,"Europe"
"Gabon","gabon","$19,800","2023",102,"Africa"
"Suriname","suriname","$19,000","2023",103,"South America"
"Colombia","colombia","$18,800","2023",104,"South America"
"Brazil","brazil","$18,600","2023",105,"South America"
"French Polynesia","french-polynesia","$18,600","2021",106,"Australia and Oceania"
"Albania","albania","$18,100","2023",107,"Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$17,900","2023",108,"Central America and the Caribbean"
"Libya","libya","$17,700","2023",109,"Africa"
"Botswana","botswana","$17,500","2023",110,"Africa"
"Barbados","barbados","$17,400","2023",111,"Central America and the Caribbean"
"Egypt","egypt","$17,000","2023",112,"Africa"
"Equatorial Guinea","equatorial-guinea","$16,900","2023",113,"Africa"
"Mongolia","mongolia","$16,300","2023",114,"East and Southeast Asia"
"Iran","iran","$16,200","2023",115,"Middle East"
"Ukraine","ukraine","$16,200","2023",116,"Europe"
"Dominica","dominica","$15,900","2023",117,"Central America and the Caribbean"
"Grenada","grenada","$15,900","2023",118,"Central America and the Caribbean"
"Palau","palau","$15,800","2023",119,"Australia and Oceania"
"Paraguay","paraguay","$15,700","2023",120,"South America"
"Moldova","moldova","$15,700","2023",121,"Europe"
"Cook Islands","cook-islands","$15,600","2022",122,"Australia and Oceania"
"Algeria","algeria","$15,300","2023",123,"Africa"
"Peru","peru","$15,100","2023",124,"South America"
"Turkmenistan","turkmenistan","$14,700","2022",125,"Central Asia"
"South Africa","south-africa","$14,300","2023",126,"Africa"
"Ecuador","ecuador","$14,300","2023",127,"South America"
"Indonesia","indonesia","$14,100","2023",128,"East and Southeast Asia"
"Bhutan","bhutan","$14,000","2022",129,"South Asia"
"Vietnam","vietnam","$13,700","2023",130,"East and Southeast Asia"
"Fiji","fiji","$13,600","2023",131,"Australia and Oceania"
"Kosovo","kosovo","$13,500","2023",132,"Europe"
"Sri Lanka","sri-lanka","$13,000","2023",133,"South Asia"
"Belize","belize","$12,800","2023",134,"Central America and the Caribbean"
"Guatemala","guatemala","$12,700","2023",135,"Central America and the Caribbean"
"Iraq","iraq","$12,600","2023",136,"Middle East"
"Tunisia","tunisia","$12,300","2023",137,"Africa"
"Cuba","cuba","$12,300","2016",138,"Central America and the Caribbean"
"Lebanon","lebanon","$12,300","2023",139,"Middle East"
"Namibia","namibia","$11,500","2023",140,"Africa"
"Nauru","nauru","$11,400","2023",141,"Australia and Oceania"
"El Salvador","el-salvador","$11,300","2023",142,"Central America and the Caribbean"
"American Samoa","american-samoa","$11,200","2016",143,"Australia and Oceania"
"Niue","niue","$11,100","2021",144,"Australia and Oceania"
"Eswatini","eswatini","$10,600","2023",145,"Africa"
"Jamaica","jamaica","$10,300","2023",146,"Central America and the Caribbean"
"Bolivia","bolivia","$9,700","2023",147,"South America"
"Philippines","philippines","$9,700","2023",148,"East and Southeast Asia"
"Jordan","jordan","$9,400","2023",149,"Middle East"
"India","india","$9,200","2023",150,"South Asia"
"Morocco","morocco","$8,800","2023",151,"Africa"
"Uzbekistan","uzbekistan","$8,800","2023",152,"Central Asia"
"Laos","laos","$8,400","2023",153,"East and Southeast Asia"
"Bangladesh","bangladesh","$8,200","2023",154,"South Asia"
"Cabo Verde","cabo-verde","$8,200","2023",155,"Africa"
"Venezuela","venezuela","$7,704","2018",156,"South America"
"Nicaragua","nicaragua","$7,300","2023",157,"Central America and the Caribbean"
"Angola","angola","$7,200","2023",158,"Africa"
"Cote d'Ivoire","cote-divoire","$7,000","2023",159,"Africa"
"Marshall Islands","marshall-islands","$6,800","2023",160,"Australia and Oceania"
"Ghana","ghana","$6,700","2023",161,"Africa"
"Tonga","tonga","$6,600","2022",162,"Australia and Oceania"
"Honduras","honduras","$6,500","2023",163,"Central America and the Caribbean"
"Djibouti","djibouti","$6,500","2023",164,"Africa"
"Kyrgyzstan","kyrgyzstan","$6,400","2023",165,"Central Asia"
"Mauritania","mauritania","$6,300","2023",166,"Africa"
"Congo, Republic of the","congo-republic-of-the","$6,200","2023",167,"Africa"
"Tokelau","tokelau","$6,004","2017",168,"Australia and Oceania"
"Samoa","samoa","$6,000","2023",169,"Australia and Oceania"
"Kenya","kenya","$5,700","2023",170,"Africa"
"Nigeria","nigeria","$5,700","2023",171,"Africa"
"Pakistan","pakistan","$5,600","2023",172,"South Asia"
"Sao Tome and Principe","sao-tome-and-principe","$5,500","2023",173,"Africa"
"Gaza Strip","gaza-strip","$5,300","2023",174,"Middle East"
"Burma","burma","$5,300","2023",175,"East and Southeast Asia"
"West Bank","west-bank","$5,300","2023",176,"Middle East"
"Tuvalu","tuvalu","$5,200","2023",177,"Australia and Oceania"
"Cambodia","cambodia","$5,100","2023",178,"East and Southeast Asia"
"Cameroon","cameroon","$4,800","2023",179,"Africa"
"Nepal","nepal","$4,700","2023",180,"South Asia"
"Tajikistan","tajikistan","$4,600","2023",181,"Central Asia"
"Timor-Leste","timor-leste","$4,600","2023",182,"East and Southeast Asia"
"Senegal","senegal","$4,400","2023",183,"Africa"
"Papua New Guinea","papua-new-guinea","$4,200","2023",184,"East and Southeast Asia"
"Guinea","guinea","$4,000","2023",185,"Africa"
"Benin","benin","$3,800","2023",186,"Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","$3,800","2023",187,"Australia and Oceania"
"Zambia","zambia","$3,700","2023",188,"Africa"
"Tanzania","tanzania","$3,600","2023",189,"Africa"
"Zimbabwe","zimbabwe","$3,500","2023",190,"Africa"
"Comoros","comoros","$3,500","2023",191,"Africa"
"Kiribati","kiribati","$3,200","2023",192,"Australia and Oceania"
"Vanuatu","vanuatu","$3,000","2023",193,"Australia and Oceania"
"Rwanda","rwanda","$3,000","2023",194,"Africa"
"Haiti","haiti","$2,900","2023",195,"Central America and the Caribbean"
"Gambia, The","gambia-the","$2,900","2023",196,"Africa"
