name,slug,value,date_of_information,ranking,region
"Lesotho","lesotho","1,004,000","2023",146,"Africa"
"Namibia","namibia","989,000","2023",147,"Africa"
"Latvia","latvia","978,000","2023",148,"Europe"
"Gambia, The","gambia-the","969,000","2023",149,"Africa"
"Bahrain","bahrain","855,000","2023",150,"Middle East"
"North Macedonia","north-macedonia","801,000","2023",151,"Europe"
"Gabon","gabon","763,000","2023",152,"Africa"
"Estonia","estonia","752,000","2023",153,"Europe"
"Guinea-Bissau","guinea-bissau","726,000","2023",154,"Africa"
"Cyprus","cyprus","693,000","2023",155,"Europe"
"Trinidad and Tobago","trinidad-and-tobago","681,000","2023",156,"Central America and the Caribbean"
"Timor-Leste","timor-leste","597,000","2023",157,"East and Southeast Asia"
"Equatorial Guinea","equatorial-guinea","593,000","2023",158,"Africa"
"Mauritius","mauritius","588,000","2023",159,"Africa"
"Kosovo","kosovo","500,300","2017",160,"Europe"
"Bhutan","bhutan","430,000","2023",161,"South Asia"
"Macau","macau","407,000","2023",162,"East and Southeast Asia"
"Eswatini","eswatini","405,000","2023",163,"Africa"
"Fiji","fiji","391,000","2023",164,"Australia and Oceania"
"Solomon Islands","solomon-islands","382,000","2023",165,"Australia and Oceania"
"Luxembourg","luxembourg","352,000","2023",166,"Europe"
"Malta","malta","313,000","2023",167,"Europe"
"Guyana","guyana","295,000","2023",168,"South America"
"Montenegro","montenegro","286,000","2023",169,"Europe"
"Maldives","maldives","260,000","2023",170,"South Asia"
"Cabo Verde","cabo-verde","257,000","2023",171,"Africa"
"Djibouti","djibouti","256,000","2023",172,"Africa"
"Suriname","suriname","250,000","2023",173,"South America"
"Bahamas, The","bahamas-the","242,000","2023",174,"Central America and the Caribbean"
"Iceland","iceland","239,000","2023",175,"Europe"
"Comoros","comoros","234,000","2023",176,"Africa"
"Brunei","brunei","228,000","2023",177,"East and Southeast Asia"
"Belize","belize","190,000","2023",178,"Central America and the Caribbean"
"Barbados","barbados","146,000","2023",179,"Central America and the Caribbean"
"Vanuatu","vanuatu","142,000","2023",180,"Australia and Oceania"
"French Polynesia","french-polynesia","137,000","2023",181,"Australia and Oceania"
"New Caledonia","new-caledonia","119,000","2023",182,"Australia and Oceania"
"Saint Lucia","saint-lucia","101,000","2023",183,"Central America and the Caribbean"
"Guernsey","guernsey","86,000","2023",184,"Europe"
"Jersey","jersey","86,000","2023",185,"Europe"
"Guam","guam","80,000","2023",186,"Australia and Oceania"
"Samoa","samoa","77,000","2023",187,"Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","76,000","2023",188,"Africa"
"Grenada","grenada","55,270","2017",189,"Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","53,000","2023",190,"Central America and the Caribbean"
"Monaco","monaco","52,000","2014",191,"Europe"
"Seychelles","seychelles","51,000","2018",192,"Africa"
"Virgin Islands","virgin-islands","46,000","2023",193,"Central America and the Caribbean"
"Andorra","andorra","39,750","2016",194,"Europe"
"Liechtenstein","liechtenstein","38,520","2015",195,"Europe"
"Tonga","tonga","38,000","2023",196,"Australia and Oceania"
"Bermuda","bermuda","33,480","2016",197,"North America"
"Faroe Islands","faroe-islands","27,540","2017",198,"Europe"
"Greenland","greenland","26,840","2015",199,"North America"
"Gibraltar","gibraltar","24,420","2014",200,"Europe"
"American Samoa","american-samoa","17,850","2015",201,"Australia and Oceania"
"Palau","palau","11,610","2016",202,"Australia and Oceania"
"Holy See (Vatican City)","holy-see-vatican-city","4,822","2016",203,"Europe"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","4,429","2015",204,"North America"
"Tuvalu","tuvalu","3,615","",205,"Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","1,850","2016",206,"South America"
"Tokelau","tokelau","1,100","2019",207,"Australia and Oceania"
